"material","disposition","warmMaterial","Air_DEQ_Air PM2.5_kg PM2.5 eq.","Energy_DEQ_Energy demand_MJ","Energy_WARM_Energy use_MJ","Eutrophication_DEQ_Eutrophication_kg N eq.","GHG's_DEQ_Global warming 100_kg CO2 eq.","GHG's_DEQ_Global warming 100(B)_kg CO2 eq.","GHG's_DEQ_Global warming 20_kg CO2 eq.","GHG's_DEQ_Global warming 20(B)_kg CO2 eq.","GHG's_WARM_Global warming_kg CO2 eq.","Toxicity_DEQ_Human toxicity_CTUh","Water_DEQ_Water consumption_kg"
"TinnedCan","recycling","Steel Cans",-0.415644412448035,-12187.3836106732,-21065.4562193338,-0.107607040508772,-1481.32983331532,-1484.10397920108,-1684.20237057243,-1686.99985197196,-1832.07541801129,1.40470038594932e-06,-2724.64715461949
"Wood","combustion","Dimensional Lumber",-0.0095539604883411,-5102.00688176498,-8249.29722334769,0.0065449582376466,-242.64461573701,1355.3311540058,-279.464544805834,1318.51904561851,-584.460282345671,-6.39681283846943e-08,-2409.661732218
"Wood","composting","Dimensional Lumber",-0.075511479688968,-2621.75179163955,NA,0.0137477694932271,-94.5445223710328,528.514318898527,-55.8564181229878,567.21507497886,NA,6.18834887999877e-07,103.807850054698
"Wood","landfilling","Dimensional Lumber",0.0659865791268588,-201.655113098515,251.931359607029,0.940229898644602,647.666266917134,1022.20760425843,2444.69786628591,2768.285333988,-1012.30987235862,2.49046711318993e-07,-772.572163124976
"Wood","production","Dimensional Lumber",1.40388255224638,22229.7270425065,3877.30440226917,0.185759806832587,424.153935186072,-1032.63977685259,484.352539974122,-972.446105493878,2020.04215512112,5.13729349685478e-05,4160.82085646125
"YardDebris","anaerobicDigestion","Yard Trimmings",0.12158164476491,-5592.49067097309,-176.448464527237,0.307444850516307,140.216407284071,161.688678108795,507.429113854373,516.449604212939,-89.1609325748468,3.85096521726875e-05,1230.13522060335
"YardDebris","combustion","Yard Trimmings",-0.0080969412274328,-3871.25966846862,-2782.89544884018,-0.00248344825722957,-164.198346420304,924.85787317577,-185.209793077438,903.851263800582,-166.906671162637,-3.84679219911474e-08,-3179.64831849677
"YardDebris","composting","Yard Trimmings",0.0276168323640281,-543.11278049383,616.1525872,0.0566137868360415,-68.6436663298041,403.066000880116,-26.5573200230891,445.155021176933,-146.31201959603,6.38547631917614e-07,158.511892828043
"YardDebris","landfilling","Yard Trimmings",0.049329542213111,62.8333023530382,160.872784241325,0.91644290869429,459.911096778336,718.375298259651,1704.15807558201,1927.38378230445,-179.849239252915,2.27551373750261e-07,-507.70332185163
"YardDebris","production","Yard Trimmings",0.00889222163892035,258.327833312817,0,0.0327297878665514,14.0051726663496,14.3783742497895,16.4780275396367,16.8379175714343,NA,3.43440152826024e-07,-1089.87389626459
"Aluminum","combustion","Aluminum Cans",NA,NA,332.953562629093,NA,NA,NA,NA,NA,34.4322205450257,NA,NA
"Electronics","combustion","Mixed Electronics",NA,NA,-5782.72192522553,NA,NA,NA,NA,NA,386.885418492358,NA,NA
"Glass","combustion","Glass",NA,NA,233.56443945623,NA,NA,NA,NA,NA,26.8403367053342,NA,NA
"ScrapMetal","combustion","Mixed Metals",NA,NA,-11809.9371697683,NA,NA,NA,NA,NA,-1020.78854548749,NA,NA
"TinnedCan","combustion","Steel Cans",NA,NA,-18371.0152267894,NA,NA,NA,NA,NA,-1590.94815294055,NA,NA
"Wood","recycling","Dimensional Lumber",NA,NA,620.31077311896,NA,NA,NA,NA,NA,-2467.97057193842,NA,NA
