"year","wasteshed","material","disposition","tons","umbDisp","miles"
2018,"Polk","PlasticFilm","recycling",150.275,"recovery",180
2018,"Polk","RigidPlastic","combustion",5.8859313218835,"disposal",180
2018,"Polk","RigidPlastic","landfilling",1034.25801386403,"disposal",180
2018,"Polk","RigidPlastic","recycling",285.796,"recovery",180
2018,"Polk","ScrapMetal","landfilling",1881.84261831896,"disposal",180
2018,"Polk","ScrapMetal","recycling",7630.105,"recovery",180
2018,"Polk","TinnedCan","landfilling",308.449182047597,"disposal",180
2018,"Polk","TinnedCan","recycling",138.87,"recovery",180
2018,"Polk","YardDebris","anaerobicDigestion",0,"recovery",180
2018,"Polk","YardDebris","combustion",0,"disposal",180
2018,"Polk","YardDebris","composting",8907.421,"recovery",180
2018,"Polk","YardDebris","landfilling",1926.45274800948,"disposal",180
2018,"Sherman","Aluminum","landfilling",4.35683116657012,"disposal",180
2018,"Sherman","Aluminum","recycling",8.004,"recovery",180
2018,"Sherman","Cardboard","combustion",0,"disposal",180
2018,"Sherman","Cardboard","landfilling",38.1226781363557,"disposal",180
2018,"Sherman","Cardboard","recycling",42.226,"recovery",180
2018,"Sherman","Carpeting","combustion",0,"disposal",180
2018,"Sherman","Carpeting","landfilling",28.200645168977,"disposal",180
2018,"Sherman","Carpeting","recycling",0,"recovery",180
2018,"Sherman","Electronics","landfilling",12.9283934899881,"disposal",180
2018,"Sherman","Electronics","recycling",1.029,"recovery",180
2018,"Sherman","FoodWaste","anaerobicDigestion",0,"recovery",180
2018,"Sherman","FoodWaste","combustion",0,"disposal",180
2018,"Sherman","FoodWaste","composting",0,"recovery",180
2018,"Sherman","FoodWaste","landfilling",176.061189178974,"disposal",180
2018,"Sherman","Glass","landfilling",18.3607430114156,"disposal",180
2018,"Sherman","Glass","recycling",9.035,"recovery",180
2018,"Sherman","Glass","recyclingPozzolan",0,"recovery",180
2018,"Sherman","Glass","recyclingToFiberglass",0,"recovery",180
2018,"Sherman","Glass","useAsAggregate",0,"recovery",20
2018,"Sherman","PaperFiber","combustion",0,"disposal",180
2018,"Sherman","PaperFiber","landfilling",145.962662136354,"disposal",180
2018,"Sherman","PaperFiber","recycling",0,"recovery",180
2018,"Sherman","PlasticFilm","combustion",0,"disposal",180
2018,"Sherman","PlasticFilm","landfilling",56.7468245442152,"disposal",180
2018,"Sherman","PlasticFilm","recycling",0,"recovery",180
2018,"Sherman","RigidPlastic","combustion",0,"disposal",180
2018,"Sherman","RigidPlastic","landfilling",25.2551099951951,"disposal",180
2018,"Sherman","RigidPlastic","recycling",0.789,"recovery",180
2018,"Sherman","ScrapMetal","landfilling",45.9519207801272,"disposal",180
2018,"Sherman","ScrapMetal","recycling",52.699,"recovery",180
2018,"Sherman","TinnedCan","landfilling",7.53189041430446,"disposal",180
2018,"Sherman","TinnedCan","recycling",0,"recovery",180
2018,"Sherman","YardDebris","anaerobicDigestion",0,"recovery",180
2018,"Sherman","YardDebris","combustion",0,"disposal",180
2018,"Sherman","YardDebris","composting",0,"recovery",180
2018,"Sherman","YardDebris","landfilling",47.0412367120625,"disposal",180
2018,"Tillamook","Aluminum","landfilling",99.7492546341945,"disposal",180
2018,"Tillamook","Aluminum","recycling",148.686,"recovery",180
2018,"Tillamook","Cardboard","combustion",0.00123658096202423,"disposal",180
2018,"Tillamook","Cardboard","landfilling",872.815260306366,"disposal",180
2018,"Tillamook","Cardboard","recycling",2822.345,"recovery",180
2018,"Tillamook","Carpeting","combustion",0.000914741110475696,"disposal",180
2018,"Tillamook","Carpeting","landfilling",645.651214899695,"disposal",180
2018,"Tillamook","Carpeting","recycling",0,"recovery",180
2018,"Tillamook","Electronics","landfilling",295.99439706063,"disposal",180
2018,"Tillamook","Electronics","recycling",100.003,"recovery",180
2018,"Tillamook","FoodWaste","anaerobicDigestion",0,"recovery",180
2018,"Tillamook","FoodWaste","combustion",0.00571087670995607,"disposal",180
2018,"Tillamook","FoodWaste","composting",2.975,"recovery",180
2018,"Tillamook","FoodWaste","landfilling",4030.90496720763,"disposal",180
2018,"Tillamook","Glass","landfilling",420.367546939055,"disposal",180
2018,"Tillamook","Glass","recycling",682.222,"recovery",180
2018,"Tillamook","Glass","recyclingPozzolan",0,"recovery",180
2018,"Tillamook","Glass","recyclingToFiberglass",0,"recovery",180
2018,"Tillamook","Glass","useAsAggregate",0,"recovery",20
2018,"Tillamook","PaperFiber","combustion",0.00473457422163796,"disposal",180
2018,"Tillamook","PaperFiber","landfilling",3341.80191884417,"disposal",180
2018,"Tillamook","PaperFiber","recycling",708.147,"recovery",180
2018,"Tillamook","PlasticFilm","combustion",0,"disposal",180
2018,"Tillamook","PlasticFilm","landfilling",1299.21340413083,"disposal",180
2018,"Tillamook","PlasticFilm","recycling",18.159,"recovery",180
2018,"Tillamook","RigidPlastic","combustion",0.000819197122043314,"disposal",180
2018,"Tillamook","RigidPlastic","landfilling",578.213454093635,"disposal",180
2018,"Tillamook","RigidPlastic","recycling",191.646,"recovery",180
2018,"Tillamook","ScrapMetal","landfilling",1052.06506095477,"disposal",180
2018,"Tillamook","ScrapMetal","recycling",3526.613,"recovery",180
2018,"Tillamook","TinnedCan","landfilling",172.441948308215,"disposal",180
2018,"Tillamook","TinnedCan","recycling",26.142,"recovery",180
2018,"Tillamook","YardDebris","anaerobicDigestion",0,"recovery",180
2018,"Tillamook","YardDebris","combustion",0,"disposal",180
2018,"Tillamook","YardDebris","composting",1089.25,"recovery",180
2018,"Tillamook","YardDebris","landfilling",1077.00485047552,"disposal",180
2018,"Umatilla","Aluminum","landfilling",293.609799020924,"disposal",180
2018,"Umatilla","Aluminum","recycling",1044.719,"recovery",180
2018,"Umatilla","Cardboard","combustion",0,"disposal",180
2018,"Umatilla","Cardboard","landfilling",2569.11306355865,"disposal",180
2018,"Umatilla","Cardboard","recycling",5384.352,"recovery",180
2018,"Umatilla","Carpeting","combustion",0,"disposal",180
2018,"Umatilla","Carpeting","landfilling",1900.46055120425,"disposal",180
2018,"Umatilla","Carpeting","recycling",0,"recovery",180
2018,"Umatilla","Electronics","landfilling",871.253181299452,"disposal",180
2018,"Umatilla","Electronics","recycling",153.952,"recovery",180
2018,"Umatilla","FoodWaste","anaerobicDigestion",0,"recovery",180
2018,"Umatilla","FoodWaste","combustion",0,"disposal",180
2018,"Umatilla","FoodWaste","combustion",24.321,"recovery",180
2018,"Umatilla","FoodWaste","composting",201.139,"recovery",180
2018,"Umatilla","FoodWaste","landfilling",11864.8826162613,"disposal",180
2018,"Umatilla","Glass","landfilling",1237.34288967192,"disposal",180
2018,"Umatilla","Glass","recycling",1513.389,"recovery",180
2018,"Umatilla","Glass","recyclingPozzolan",0,"recovery",180
2018,"Umatilla","Glass","recyclingToFiberglass",0,"recovery",180
2018,"Umatilla","Glass","useAsAggregate",0,"recovery",20
2018,"Umatilla","PaperFiber","combustion",0,"disposal",180
2018,"Umatilla","PaperFiber","landfilling",9836.52252197601,"disposal",180
2018,"Umatilla","PaperFiber","recycling",646.93,"recovery",180
2018,"Umatilla","PlasticFilm","combustion",60.3,"recovery",180
2018,"Umatilla","PlasticFilm","landfilling",3824.20688626758,"disposal",180
2018,"Umatilla","PlasticFilm","recycling",115.709,"recovery",180
2018,"Umatilla","RigidPlastic","combustion",0,"disposal",180
2018,"Umatilla","RigidPlastic","landfilling",1701.95894365539,"disposal",180
2018,"Umatilla","RigidPlastic","recycling",277.925,"recovery",180
2018,"Umatilla","ScrapMetal","landfilling",3096.73102056419,"disposal",180
2018,"Umatilla","ScrapMetal","recycling",19529.113,"recovery",180
2018,"Umatilla","TinnedCan","landfilling",507.579189150102,"disposal",180
2018,"Umatilla","TinnedCan","recycling",15.71,"recovery",180
2018,"Umatilla","YardDebris","anaerobicDigestion",0,"recovery",180
2018,"Umatilla","YardDebris","combustion",0,"disposal",180
2018,"Umatilla","YardDebris","composting",972.7,"recovery",180
2018,"Umatilla","YardDebris","landfilling",3170.14075796689,"disposal",180
2018,"Union","Aluminum","landfilling",66.9304516823919,"disposal",180
2018,"Union","Aluminum","recycling",110.478,"recovery",180
2018,"Union","Cardboard","combustion",0,"disposal",180
2018,"Union","Cardboard","landfilling",585.647680494684,"disposal",180
2018,"Union","Cardboard","recycling",2191.547,"recovery",180
2018,"Union","Carpeting","combustion",0,"disposal",180
2018,"Union","Carpeting","landfilling",433.223562431592,"disposal",180
2018,"Union","Carpeting","recycling",0,"recovery",180
2018,"Union","Electronics","landfilling",198.608388236857,"disposal",180
