"year","wasteshed","material","LCstage","disposition","umbDisp","tons"
2018,"Clatsop","TinnedCan","endOfLife","landfilling","Disposal",208.882367540537
2018,"Clatsop","TinnedCan","endOfLife","recycling","Recovery",62.297
2018,"Clatsop","TinnedCan","endOfLifeTransport","landfilling","Disposal",208.882367540537
2018,"Clatsop","TinnedCan","endOfLifeTransport","recycling","Recovery",62.297
2018,"Clatsop","TinnedCan","production","production","Production",271.179917240445
2018,"Columbia","Aluminum","endOfLife","landfilling","Disposal",114.242684379478
2018,"Columbia","Aluminum","endOfLife","recycling","Recovery",217.01
2018,"Columbia","Aluminum","endOfLifeTransport","landfilling","Disposal",114.242684379478
2018,"Columbia","Aluminum","endOfLifeTransport","recycling","Recovery",217.01
2018,"Columbia","Aluminum","production","production","Production",331.253108345585
2018,"Columbia","Cardboard","endOfLife","combustion","Disposal",0.00370974288609552
2018,"Columbia","Cardboard","endOfLife","landfilling","Disposal",999.634119276819
2018,"Columbia","Cardboard","endOfLife","recycling","Recovery",2837.917
2018,"Columbia","Cardboard","endOfLifeTransport","combustion","Disposal",0.00370974288609552
2018,"Columbia","Cardboard","endOfLifeTransport","landfilling","Disposal",999.634119276819
2018,"Columbia","Cardboard","endOfLifeTransport","recycling","Recovery",2837.917
2018,"Columbia","Cardboard","production","production","Production",3837.55482901971
2018,"Columbia","Carpeting","endOfLife","combustion","Disposal",0.00274422333144397
2018,"Columbia","Carpeting","endOfLife","landfilling","Disposal",739.463449962732
2018,"Columbia","Carpeting","endOfLife","recycling",NA,0
2018,"Columbia","Carpeting","endOfLifeTransport","combustion","Disposal",0.00274422333144397
2018,"Columbia","Carpeting","endOfLifeTransport","landfilling","Disposal",739.463449962732
2018,"Columbia","Carpeting","endOfLifeTransport","recycling",NA,0
2018,"Columbia","Carpeting","production","production","Production",739.466194186063
2018,"Columbia","FoodWaste","endOfLife","anaerobicDigestion",NA,0
2018,"Columbia","FoodWaste","endOfLife","combustion","Disposal",0.0171326301299736
2018,"Columbia","FoodWaste","endOfLife","composting","Recovery",4.742
2018,"Columbia","FoodWaste","endOfLife","landfilling","Disposal",4616.58992461795
2018,"Columbia","FoodWaste","endOfLifeTransport","anaerobicDigestion",NA,0
2018,"Columbia","FoodWaste","endOfLifeTransport","combustion","Disposal",0.0171326301299736
2018,"Columbia","FoodWaste","endOfLifeTransport","composting","Recovery",4.742
2018,"Columbia","FoodWaste","endOfLifeTransport","landfilling","Disposal",4616.58992461795
2018,"Columbia","FoodWaste","production","production","Production",4621.34905724808
2018,"Columbia","Glass","endOfLife","landfilling","Disposal",481.446374355875
2018,"Columbia","Glass","endOfLife","recycling","Recovery",604.032
2018,"Columbia","Glass","endOfLife","recyclingPozzolan",NA,0
2018,"Columbia","Glass","endOfLife","recyclingToFiberglass",NA,0
2018,"Columbia","Glass","endOfLife","reuseContainer",NA,0
2018,"Columbia","Glass","endOfLife","useAsAggregate",NA,0
2018,"Columbia","Glass","endOfLifeTransport","landfilling","Disposal",481.446374355875
2018,"Columbia","Glass","endOfLifeTransport","recycling","Recovery",604.032
2018,"Columbia","Glass","endOfLifeTransport","recyclingPozzolan",NA,0
2018,"Columbia","Glass","endOfLifeTransport","recyclingToFiberglass",NA,0
2018,"Columbia","Glass","endOfLifeTransport","reuseContainer",NA,0
2018,"Columbia","Glass","endOfLifeTransport","useAsAggregate",NA,0
2018,"Columbia","Glass","production","production","Production",1085.48016105186
2018,"Columbia","PaperFiber","endOfLife","combustion","Disposal",0.0142037226650012
2018,"Columbia","PaperFiber","endOfLife","landfilling","Disposal",3827.36114944737
2018,"Columbia","PaperFiber","endOfLife","recycling","Recovery",3113.934
2018,"Columbia","PaperFiber","endOfLifeTransport","combustion","Disposal",0.0142037226650012
2018,"Columbia","PaperFiber","endOfLifeTransport","landfilling","Disposal",3827.36114944737
2018,"Columbia","PaperFiber","endOfLifeTransport","recycling","Recovery",3113.934
2018,"Columbia","PaperFiber","production","production","Production",6941.30935317003
2018,"Columbia","PlasticFilm","endOfLife","combustion","Disposal",0.00552207082378753
