"impactCategory","impactUnits","year","wasteshed","material","magnitude","pctOfTotal","datatype"
"Air PM2.5","kg PM2.5 eq.",2018,"Grant","PaperFiber",2597.22446402946,0.297324686174824,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Grant","PlasticFilm",79.9036782347104,0.00914720170873916,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Grant","RigidPlastic",35.9922771427944,0.00412031869189927,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Grant","ScrapMetal",312.98868338249,0.0358302731827013,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Grant","TinnedCan",28.4720054037901,0.00325941411252384,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Grant","YardDebris",12.2231433858181,0.00139927923889178,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Harney","Aluminum",121.614678590322,0.0114269264192199,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Harney","Cardboard",219.744155237596,0.0206471810973768,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Harney","Carpeting",71.0559997187352,0.00667642828844109,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Harney","Electronics",4727.94546433452,0.444238191978697,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Harney","FoodWaste",1767.26935036887,0.166052791190081,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Harney","Glass",197.272934869237,0.0185357831586106,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Harney","PaperFiber",2862.06162533112,0.268919574339394,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Harney","PlasticFilm",86.790960513153,0.00815488665622426,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Harney","RigidPlastic",33.0277733753815,0.00310329263314098,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Harney","ScrapMetal",511.197414213263,0.0480321561970998,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Harney","TinnedCan",31.6775136108705,0.00297642210110697,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Harney","YardDebris",13.1584155678168,0.00123636594060716,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Hood River","Aluminum",704.260179675228,0.0136823375176727,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Hood River","Cardboard",1302.14411807783,0.0252980018384813,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Hood River","Carpeting",356.758769514243,0.0069310945553311,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Hood River","Electronics",20923.6425483211,0.406503658317424,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Hood River","FoodWaste",9040.01620634088,0.175629059359037,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Hood River","Glass",1743.29094198086,0.033868584009227,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Hood River","PaperFiber",14587.9516960083,0.283414119606104,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Hood River","PlasticFilm",444.70695759608,0.00863974830025585,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Hood River","RigidPlastic",160.225696738265,0.00311285818089016,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Hood River","ScrapMetal",2079.82166577191,0.040406688932466,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Hood River","TinnedCan",150.979038068565,0.00293321448033636,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Hood River","YardDebris",-21.5856492605781,-0.00041936509722519,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Jackson","Aluminum",3952.92320585329,0.0088220648512672,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Jackson","Cardboard",9728.36087188113,0.0217115855884024,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Jackson","Carpeting",3027.19092416476,0.00675603174142213,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Jackson","Electronics",193315.261602639,0.431437618639501,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Jackson","FoodWaste",75626.526220028,0.168781958071236,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Jackson","Glass",10649.8832465412,0.023768223101397,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Jackson","PaperFiber",126332.520021719,0.281946707895894,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Jackson","PlasticFilm",3661.26098273055,0.00817113820456596,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Jackson","RigidPlastic",1365.24397784617,0.00304692762372069,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Jackson","ScrapMetal",20608.0467587728,0.0459926782019523,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Jackson","TinnedCan",1647.23618585987,0.00367627289988622,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Jackson","YardDebris",-1842.11804309294,-0.00411120681924487,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Jefferson","Aluminum",395.756749668018,0.0108375809943615,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Jefferson","Cardboard",658.483808148074,0.0180322170380334,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Jefferson","Carpeting",248.705537254084,0.00681066439422284,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Jefferson","Electronics",15496.026258442,0.424350159049705,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Jefferson","FoodWaste",6185.68043678516,0.169391457745526,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Jefferson","Glass",623.478805940438,0.017073624299056,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Jefferson","PaperFiber",9400.34636940927,0.257423316820206,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Jefferson","PlasticFilm",300.145145778136,0.0082193097910867,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Jefferson","RigidPlastic",108.764963221117,0.00297846871656999,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Jefferson","ScrapMetal",2948.44027031457,0.0807414156887433,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Jefferson","TinnedCan",104.687201159245,0.00286680144454407,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Jefferson","YardDebris",46.5586860281025,0.00127498401794506,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Josephine","Aluminum",1963.2232400558,0.0103844092821489,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Josephine","Cardboard",4114.30674778528,0.0217624997043612,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Josephine","Carpeting",1249.96601959218,0.00661165702982143,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Josephine","Electronics",85491.9727536726,0.45220717506748,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Josephine","FoodWaste",31190.5102967329,0.164981250237822,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Josephine","Glass",4118.72032049827,0.0217858451622353,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Josephine","PaperFiber",48819.4498460822,0.258228986794517,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Josephine","PlasticFilm",1490.02515370437,0.00788144247738387,"impact"
